hs_id,face_analysis,hair_analysis,score,definition
HS35,ovale,straight,4,Hem modern hem hacimli. Düz saçı sıradanlıktan kurtarıp yüzüne ideal bir odak noktası sağlar.
HS36,ovale,straight,1,"Geometrik olarak yüz dengeni bozabilir, genellikle oval hatlarla çok uyumlu birleşmez."
HS37,ovale,straight,4,"Yan ve tepe arasındaki keskin ayrım, oval yüzündeki kemik yapısını netleştirir ve maskülenliği artırır."
HS38,ovale,straight,2,Üstteki yoğunluk bazen oval yüzün dengeli oranlarını fazla kapatabilir.
HS39,ovale,straight,0,Saçında doğal dalga olmadığı için bu modelin katlı ve hacimli duruşu yakalanamaz.
HS40,ovale,straight,0,Düz saçta dalgalı bir ayrım formu oluşmayacağı için teknik olarak uyumsuzdur.
HS41,ovale,straight,0,"Modelin temelini oluşturan dalgalı doku, düz saç yapısına terstir."
HS42,ovale,straight,0,Katlı ve dalgalı karakteristik yapısı düz saçta sönük bir fiyaskoya dönüşebilir.
HS01,ovale,wavy/curly,4,Dalgaların arkaya akışı oval yüzün dengeli hatlarıyla mükemmel bir doğal uyum sağlar.
HS02,ovale,wavy/curly,3,Tepe hacmi yüzü modernize eder; dalgalı dokuyla uygulanması dinamik ama bakım ister.
HS03,ovale,wavy/curly,2,Oval yüz formu kaldırır ancak dalgalı dokunun estetik avantajını tamamen yok eder.
HS04,ovale,wavy/curly,2,"Kıvırcık doku, bu modelin imza yatay alın hattını bozar; teknik olarak zayıf kalır."
HS05,ovale,wavy/curly,3,Dalgalı saçta nizamlı bir ayrım zordur; oval yüze klasik ve olgun bir hava katar.
HS06,ovale,wavy/curly,3,Yanların hafif açılması tepedeki dalgaları temiz ve profesyonel bir çerçeveye alır.
HS07,ovale,wavy/curly,4,"Keskin yan geçişler ve üstteki dalgalı kütle, oval yüzü daha atletik ve modern gösterir."
HS08,ovale,wavy/curly,2,Dalgalı dokuyu göstermek için çok kısadır; oval yüzde fazla sıradan durur.
HS09,ovale,wavy/curly,4,"Kulak arkasındaki kavisli fade, buklelerin hacmini oval yüzle en iyi buluşturan modeldir."
HS10,ovale,wavy/curly,4,"Alna düşen dalgalar yüzü harika çerçevelerken, fade geçişi yüzün ideal formunu korur."
HS11,ovale,wavy/curly,4,Oval yüzün simetrisi bu yoğun hacmi mükemmel taşır; sanatsal ve özgür bir stildir.
HS12,ovale,wavy/curly,3,İki yana düşen dalgalar yüzü yumuşatır; oval yüz için güvenli ve romantik bir seçimdir.
HS13,ovale,wavy/curly,2,"Dalgalı doku, bu modelin ihtiyacı olan o agresif ve sivri dikliği tam veremez."
HS14,ovale,wavy/curly,2,Alındaki yoğunluk oval yüzün dengesini bozup yüzü olduğundan kısa gösterebilir.
HS15,ovale,wavy/curly,3,"Dağınık dalgalı kahkül, oval yüze derinlik katar ancak yanlar mutlaka kısa tutulmalıdır."
HS16,ovale,wavy/curly,1,Dalgalı dokuyu öldüren ve yüzü çok çıplak bırakan uyumsuz bir askeri tarzdır.
HS17,ovale,wavy/curly,3,Dalgalı saçın en nizamlı hali; oval yüzde çok elit ve prestijli bir duruş sergiler.
HS18,ovale,wavy/curly,2,Dalgalı saçı geriye yatırmak kontrolsüz bir kabarıklık yaratarak simetriyi bozabilir.
HS19,ovale,wavy/curly,2,Standart bir kısa model; ne yüzü ne de saç dokusunu ön plana çıkarır.
HS20,ovale,wavy/curly,2,Saçı toplamak yüzü fazla izole eder; dalgalı saçın yumuşatma etkisini devre dışı bırakır.
HS21,ovale,wavy/curly,4,"""Uyan ve çık"" tarzı. Dalgalı hacim oval yüzün simetrisiyle zahmetsiz bir karizma yakalar."
HS22,ovale,wavy/curly,2,Modern bir deneme olsa da dalgalı saçın estetiğini tam yansıtmaz.
HS23,ovale,wavy/curly,0,"Oval yüzün zarif hatlarına ve dalgalı saçın yapısına tamamen zıt, teknik dışı bir stil."
HS24,ovale,wavy/curly,2,Oval yüz taşır ancak dalgalı dokuyla birleşince çok karmaşık bir görüntü yaratabilir.
HS25,ovale,wavy/curly,3,Dalgalı saçın doğal yüksekliği oval yüzde çok havalı durur ama her gün form vermek gerekir.
HS26,ovale,wavy/curly,4,Oval yüzün altın standartıdır; ön saçların dalgalı hacmi yüzü mükemmel dengeler.
HS27,ovale,wavy/curly,1,"Saçın doğal hareketini hapseden, oval yüzü donuklaştıran çok katı bir modeldir."
HS28,ovale,wavy/curly,2,Kısa dalgalar yan ayrımda sönük kalır; görsel etkisi zayıftır.
HS29,ovale,wavy/curly,1,Dalgalı saçta o sivri uçları yakalamak fiziksel olarak zordur; karmaşa yaratır.
HS30,ovale,wavy/curly,3,Omuz hizasındaki dalgalar yüzü harika çerçeveler; oval yüz için karakteristik bir uzun modeldir.
HS31,ovale,wavy/curly,1,Yanların sıfırlanması oval yüzü gereksiz daraltıp kafa yapısını sivriltir.
HS32,ovale,wavy/curly,2,Islak görünüm dalgalı yapıyla çatışır; doğal hacmi öldürdüğü için önerilmez.
HS33,ovale,wavy/curly,4,Dalgalı saçın en saf hali. Oval yüzün atletik yapısını en doğal şekilde sergiler.
HS34,ovale,wavy/curly,2,Dalgalı dokuda ekstradan tekstür kesimi yapmak saçın formunu bozabilir.
HS35,ovale,wavy/curly,4,"Hareketli, dikey hacimli ve modern. Oval yüzü en iyi modernize eden zirve seçimdir."
HS36,ovale,wavy/curly,1,Yüz simetrisini dikeyde sivriltip bozan riskli ve teknik dışı bir toplama.
HS37,ovale,wavy/curly,3,"Yan-üst kontrastı, tepedeki dalgaların hareketini belirginleştiren modern bir tercihtir."
HS38,ovale,wavy/curly,3,"Yana sarkan uzun dalgalar, oval yüzün yumuşak hatlarıyla sanatsal bir denge kurar."
HS39,ovale,wavy/curly,4,"Katlı yapısıyla yüzü çevreleyen dalgalar, oval yüzün en karizmatik ve modern yorumudur."
HS40,ovale,wavy/curly,3,Klasik yan ayrımın dalgalı ve yumuşak formu; yüze elit ve entelektüel bir ifade katar.
HS41,ovale,wavy/curly,4,Hem modern hem temiz; yan fade geçişi üstteki dalgaları mükemmel vurgular.
HS42,ovale,wavy/curly,4,Asimetrik katlar; oval yüzün kusursuzluğunu asi bir tavırla birleştiren zirve modeldir.
HS01,ovale,buzz,0,Teknik uyumsuzluk; Buzz saç uzunluğunda bu akışın sağlanması mümkün değildir.
HS02,ovale,buzz,1,Buzz saç seviyesinde saçlar yukarı taranacak uzunlukta olmadığı için form oluşmaz.
HS03,ovale,buzz,4,Klasiğin gücü. Oval yüzün kusursuz simetrisini en net ve cesur şekilde sergileyen zamansız model.
HS04,ovale,buzz,3,"Alındaki çok kısa küt hat, Buzz kesime antik bir dokunuş ve karakter katar."
HS05,ovale,buzz,0,Teknik uyumsuzluk; Buzz kısalığındaki saçta ayrım hattı oluşturulamaz.
HS06,ovale,buzz,1,"Buzz kesim için yanlar fazla uzun kalır, modelin netliğini bozar."
HS07,ovale,buzz,1,Buzz saç yapısında üst kütle yana yatırılamayacak kadar kısadır.
HS08,ovale,buzz,4,Buzz kesimin bir tık daha uzun versiyonu; oval yüzde maskülenliği nizamla birleştirir.
HS09,ovale,buzz,0,Buzz saç seviyesinde bukleler henüz oluşmadığı için uygulanamaz.
HS10,ovale,buzz,0,Teknik uyumsuzluk; kıvırcık kahkül yapısı Buzz uzunluğuna terstir.
HS11,ovale,buzz,0,Yapısal olarak imkansız; Buzz saç bu uzunluğun tam zıttıdır.
HS12,ovale,buzz,0,"Buzz saç yapısında ortadan ayrılan bir ""perde"" efekti verilemez."
HS13,ovale,buzz,2,"Çok kısa saçta tepeyi sivriltmek zordur, etkisi Buzz kesimde sönük kalabilir."
HS14,ovale,buzz,3,"Tepe dokusunun hafifçe öne yönlendirilmesi, Buzz stile modern bir derinlik katar."
HS15,ovale,buzz,0,Teknik uyumsuzluk; alna düşen bir kahkül yapısı bu kısalıkta mümkün değildir.
HS16,ovale,buzz,4,"Yanların aşırı kısa, tepenin dar bir hatla bırakılması; oval yüzü çok daha atletik gösterir."
HS17,ovale,buzz,2,Buzz stile göre üstler biraz daha nizam ister; oval yüzde temiz ama çok sade durur.
HS18,ovale,buzz,0,Saçlar geriye taranacak uzunlukta olmadığı için teknik olarak imkansızdır.
HS19,ovale,buzz,3,"Kulak çevresindeki hafif geçiş, Buzz kesimin sertliğini yumuşatır ve estetik katar."
HS20,ovale,buzz,0,Teknik uyumsuzluk; Buzz saç toplanamayacak kadar kısadır.
HS21,ovale,buzz,0,"Buzz saçta ""dağınık orta boy"" yapısı oluşturulamaz."
HS22,ovale,buzz,4,"Modern Buzz tarzının zirvesi. Yanlardaki orta seviye geçiş, kafa yapını dengeler."
HS23,ovale,buzz,4,"Disiplinli ve net. Oval yüzün her açısını vurgulayan, bakımı en kolay favori model."
HS24,ovale,buzz,0,Teknik uyumsuzluk; Buzz kesim ensede bu uzunluğu barındırmaz.
HS25,ovale,buzz,0,Buzz saçta o meşhur tepe hacmini (pomp) oluşturmak imkansızdır.
HS26,ovale,buzz,1,"Buzz saç uzunluğu, ön tarafta o ikonik yükselişi sağlamaya yetmez."
HS27,ovale,buzz,3,Çok kısa ve nizamlı; profesyonel dünyada ciddiyetini koruyan bir Buzz varyasyonu.
HS28,ovale,buzz,1,Buzz kısalığında saçın yana ayrılması doğal durmaz ve yapılamaz.
HS29,ovale,buzz,2,"Saçlar çok kısa olduğunda ""dikenli"" doku ancak sert ürünlerle ve zorlama durur."
HS30,ovale,buzz,0,Teknik uyumsuzluk; Buzz saç omuz hizasına ulaşamaz.
HS31,ovale,buzz,4,Yanların tamamen sıfırlanması tepeyi vurgular; oval yüzde ultra modern bir etki yaratır.
HS32,ovale,buzz,0,Buzz saç yapısı pürüzsüzce arkaya yatırılamaz.
HS33,ovale,buzz,0,Kısa Buzz saçta dalga formu oluşması teknik olarak mümkün değildir.
HS34,ovale,buzz,3,Buzz kesime hafif bir makas dokusu ekleyerek sıradanlıktan kurtulmak isteyenler için ideal.
HS35,ovale,buzz,1,Buzz saçta bu hacimli dokuyu oluşturacak uzunluk yoktur.
HS36,ovale,buzz,0,Teknik uyumsuzluk; Buzz saçın tepe düğümü oluşturması imkansızdır.
HS37,ovale,buzz,3,"Keskin yan-üst ayrımı, çok kısa saçta bile oval yüzün kemik hattını güçlendirir."
HS38,ovale,buzz,0,"Buzz stile göre tepedeki saçların ""uzun"" olması gerektiği için uyumsuzdur."
HS39,ovale,buzz,0,Buzz saçta dalgalı ve katlı bir yapı kurulamaz.
HS40,ovale,buzz,0,Teknik uyumsuzluk; ne dalga ne de ayrım hattı bu kısalıkta mümkündür.
HS41,ovale,buzz,2,"Eğer Buzz saçın bir tık uzamış halindeyse, hafif bir doku kazandırılabilir ama zordur."
HS42,ovale,buzz,0,Buzz saçta Wolf Cut karakteristik katlarını oluşturmak imkansızdır.
HS01,square,straight,3,"Düz saçın akışkanlığı, kare yüzün sert hatlarını yumuşatmak için harika bir dengeleyici unsurdur."
HS02,square,straight,4,"Tepe bölgesindeki dikey hacim, yüzü yukarı çekerek keskin çene hattını mükemmel bir oranla dengeler."
HS03,square,straight,2,Güçlü bir yüzünüz varsa bu kesim sizi oldukça maskülen gösterir ancak köşeli hatları daha çok vurgular.
HS04,square,straight,1,"Alındaki düz ve kısa hat, kare yüzü daha basık ve geniş gösterebileceği için pek önerilmez."
HS05,square,straight,3,Klasik ve nizamlı duruşuyla kare yüzün otoriter yapısına profesyonel bir zarafet katar.
HS06,square,straight,2,"Geleneksel bir kesimdir; yüz hatlarınızı nötr tutar, ne çok yumuşatır ne de çok keskinleştirir."
HS07,square,straight,4,"Yanlardaki geçiş ve üstteki hacimli ayrım, kare yüzün en iyi taşıdığı modern klasiklerden biridir."
HS08,square,straight,2,Pratik bir modeldir ancak düz saçta kare yüzün köşelerini dengelemek adına biraz sönük kalabilir.
HS09,square,straight,0,Teknik uyumsuzluk; düz saç dokusu bu bukleli yapıyı desteklemez.
HS10,square,straight,0,Saç yapınız düz olduğu için bu kıvırcık ön dokuyu elde etmeniz mümkün değildir.
HS11,square,straight,0,Düz saç dokusuyla bu modelin hacimli ve dalgalı formuna ulaşılamaz.
HS12,square,straight,3,Ortadan ayrılan düz saçlar yüzün yanlarını perdeleyerek geniş çene hattını bir miktar daraltır.
HS13,square,straight,4,"Tepeye doğru sivrilen form, bakışları yukarı çekerek yüzün kare formunu estetik bir şekilde uzatır."
HS14,square,straight,2,Alındaki küt bitiş bazen yüzü fazla geniş hissettirebilir; daha çok uzun yüzler için idealdir.
HS15,square,straight,2,Alnı kapatır ancak düz saçta yeterli hacim olmazsa yüzü olduğundan daha basık gösterebilir.
HS16,square,straight,1,"Yanların aşırı kısalığı, kare yüzün köşeli yapısını çok sert bir şekilde ön plana çıkarır."
HS17,square,straight,3,"Hem derli toplu hem de yüz hatlarını nizamla çerçeveleyen, kare yüz için çok elit bir seçimdir."
HS18,square,straight,2,Uzun ve geriye taranmış düz saçlar yüzü tamamen açar; güçlü çene hattına güvenenler için iyidir.
HS19,square,straight,2,Standart bir kısa kesim; kare yüz için ne büyük bir avantaj ne de dezavantaj sağlar.
HS20,square,straight,1,Saçı tepede sıkıca toplamak yüzün köşeli yapısını çok sert ve izole bir şekilde gösterir.
HS21,square,straight,4,Dağınık katlar düz saçın tekdüzeliğini kırarak kare yüzün sertliğini en iyi kıran modellerden biridir.
HS22,square,straight,2,Modern bir geçiş sunar ancak yüz oranlarını değiştirmekte etkisiz kalabilir.
HS23,square,straight,1,"Kare yüzü olduğundan daha agresif ve sert gösterebilen, oldukça kısa bir kesimdir."
HS24,square,straight,2,Ensede bırakılan uzunluk yüzün genel köşeli formunu bir miktar arka plana itebilir.
HS25,square,straight,4,"Kare yüz için altın standarttır. Üstteki yüksek hacim, çene hattının gücünü estetikle buluşturur."
HS26,square,straight,4,Düz saçı hacimle ön plana çıkararak kare yüzün maskülen yapısını karizmatik bir şekilde dengeler.
HS27,square,straight,1,"Çok katı ve simetrik yapısı, kare yüzün halihazırdaki sert hatlarını fazla vurgular."
HS28,square,straight,3,"Kısa ve yana taranmış stil, keskin yüz hatlarına sahip erkeklerde çok disiplinli durur."
HS29,square,straight,3,Yukarı yönlü doku dikey bir illüzyon yaratarak yüzün kare formunu dengeler.
HS30,square,straight,3,"Omuz hizasındaki düz kütle, çene hattının sertliğini kapatarak daha yumuşak bir ifade sağlar."
HS31,square,straight,1,Yanların sıfırlanması kafa yapısını köşeli bir kutu gibi göstererek estetiği bozabilir.
HS32,square,straight,2,"Yüzü tamamen çıplak bırakan bu model, güçlü bir özgüven ve çok net hatlar ister."
HS33,square,straight,0,Teknik uyumsuzluk; düz saçta kendiliğinden o dağınık dalgalar oluşmaz.
HS34,square,straight,2,Düz saçta doku yaratmak zordur; modelin yatay hatları kare yüzü daha geniş gösterebilir.
HS35,square,straight,4,Modern ve hacimli. Dikey hareket sayesinde kare yüzün hatlarını mükemmel bir şekilde modernize eder.
HS36,square,straight,1,Yüz dengesini dikeyde çok bozabilir ve köşeli hatları gereksiz derecede keskinleştirir.
HS37,square,straight,3,"Üst kütle ile yanlar arasındaki geçiş, yüzün karakterini ve maskülenliğini ön plana taşır."
HS38,square,straight,3,"Yanlara doğru sarkan düz saç kütlesi, yüzün köşeli üst kısımlarını yumuşatmak için idealdir."
HS39,square,straight,0,Düz saç dokusu bu modelin katlı ve hacimli dalga formunu karşılamaz.
HS40,square,straight,0,Saçınızda dalga olmadığı için bu formun o yumuşak geçişi elde edilemez.
HS41,square,straight,0,Teknik olarak uyumsuz; düz saçta bu dalgalı doku yakalanamaz.
HS42,square,straight,0,Modelin karakterini oluşturan katlı dalga yapısı düz saçta sönük kalacaktır.
HS01,square,wavy/curly,4,"Dalgalı saçın doğal hareketi, kare yüzün sert hatlarını yumuşatarak zahmetsiz bir karizma sağlar."
HS02,square,wavy/curly,2,"Dalgaların yukarı yönlü hacmi güzeldir ancak form kare yüzde bazen fazla ""kutu"" gibi durabilir."
HS03,square,wavy/curly,1,Güçlü çene hattını iyice sertleştirir; dalgalı saçın yumuşatma potansiyelini tamamen yok eder.
HS04,square,wavy/curly,2,Kıvırcık dokuyla birleştiğinde alın hattı belirsizleşir; model netliğini kaybedebilir.
HS05,square,wavy/curly,2,Dalgalı saçta bu keskin ayrımı korumak güçtür; nizam yerini karmaşaya bırakabilir.
HS06,square,wavy/curly,3,"Yanların hafifçe açılması ve tepedeki dalgalar, kare yüz için temiz ve dengeli bir bitiş sağlar."
HS07,square,wavy/curly,2,Standart bir model; dalgalı saçta karakterini korumak zordur.
HS08,square,wavy/curly,2,Pratik bir kesimdir ancak saçın dalgalı dokusunun güzelliğini yeterince göstermez.
HS09,square,wavy/curly,4,"Yanlardaki kavisli geçiş, kıvırcık tepe hacmiyle birleşerek kare yüzü daha oval bir forma yaklaştırır."
HS10,square,wavy/curly,4,"Alna düşen dalgalar yüzün sert üst köşelerini kapatırken, yanlar yüzün gücünü korur."
HS11,square,wavy/curly,4,"Yüzü çevreleyen bukleler, kare yüzün en iyi dengeleyicisidir; hatları mükemmel bir estetikle yumuşatır."
HS12,square,wavy/curly,2,İki yana ayrılan dalgalar düz saçtaki kadar etkili bir perdeleme yapmayabilir.
HS13,square,wavy/curly,2,"Dalgalı saçın yumuşak dokusu, bu modelin istediği agresif ve sivri tepe formunu vermekte zorlanır."
HS14,square,wavy/curly,1,Dalgalı saçta küt kahkül hattı bazen fazla kabarık durarak yüzü olduğundan geniş gösterebilir.
HS15,square,wavy/curly,3,"Dağınık ve dalgalı kahkül yapısı, yüzün maskülen hatlarına gizemli ve yumuşak bir derinlik katar."
HS16,square,wavy/curly,1,Dalgalı dokuyu tamamen yok eder ve kare yüzün köşeli yapısını aşırı vurgulayan sert bir duruş sergiler.
HS17,square,wavy/curly,2,"Dalgalı saç yapısı bu modelin ""derli toplu"" duruşunu her zaman korumaya yetmeyebilir."
HS18,square,wavy/curly,2,"Dalgalı saçı geriye yatırmak kontrolü zor bir hacim yaratır, yüzü çok geniş gösterebilir."
HS19,square,wavy/curly,2,"Güvenli bir tercih olsa da, dalgalı saçın ve kare yüzün karakterini tam yansıtamaz."
HS20,square,wavy/curly,2,"Kare yüzde saçı toplamak yüzü çok izole eder, yumuşatma etkisini kaybeder."
HS21,square,wavy/curly,4,"Dalgalı saçın doğal karmaşası, kare yüzün keskinliğini kıran en etkili ve modern tarzlardan biridir."
HS22,square,wavy/curly,2,Standart bir kısa model; ne yüzü çok yumuşatır ne de karakteristik bir fark yaratır.
HS23,square,wavy/curly,0,"Kare yüzü çok sertleştiren, dalgalı dokuyla teknik olarak uyumsuz bir kesimdir."
HS24,square,wavy/curly,3,"Arka kısımdaki uzunluk, kare yüzün köşeli formunu dikeyde esneterek dikkati dağıtır."
HS25,square,wavy/curly,3,Dalgalı saçla yapılan Pompadour çok hacimli durur; karizmatik ama bakım ister.
HS26,square,wavy/curly,4,"Ön taraftaki doğal dalga hacmi, kare yüzün güçlü karakterine en çok yakışan modellerden biridir."
HS27,square,wavy/curly,1,"Kare yüzü çok donuk gösterebilen, fazla katı bir ordu stili."
HS28,square,wavy/curly,2,"Kısa dalgalar için nizamlı bir seçenek olsa da, görsel etkisi kare yüzde sönük kalabilir."
HS29,square,wavy/curly,1,Dalgalı saçlar dikilmeye çalışıldığında genellikle istenen o keskinliği vermez.
HS30,square,wavy/curly,4,Kare yüzün en büyük dostu. Omuz hizasındaki dalgalar çene hattını bir sanat eseri gibi çerçeveler.
HS31,square,wavy/curly,1,"Yanların tamamen sıfırlanması, kare yüzün üst kısımlarını olduğundan daha köşeli hissettirebilir."
HS32,square,wavy/curly,2,"Kare yüzü fazla agresif yapabilen, kontrolü zor bir geriye tarama."
HS33,square,wavy/curly,4,"Özgür, hacimli ve salaş. Kare yüzün maskülenliğini en doğal ve çekici şekilde sergileyen stildir."
HS34,square,wavy/curly,2,"Dalgalı saçta doku zaten mevcuttur, bu kesim bazen o dokuyu gereksiz yere daraltabilir."
HS35,square,wavy/curly,4,"Modern, hareketli ve dikey hacimli. Kare yüzün hatlarını yumuşatırken modern bir duruş sağlar."
HS36,square,wavy/curly,1,"Yüz dengesini dikeyde bozan, kare yüz için uyumsuz bir toplama şekli."
HS37,square,wavy/curly,3,"Yanlardaki sert ayrım, üstteki dalgalı karmaşanın karizmasını kare yüzde belirginleştirir."
HS38,square,wavy/curly,3,"Yana sarkan dalgalı kütle, yüzün üst kısmındaki köşeli yapıyı estetik bir şekilde kamufle eder."
HS39,square,wavy/curly,4,Katmanlı ve dalgalı yapısı sayesinde kare yüzü yumuşatan en başarılı uzun modellerden biridir.
HS40,square,wavy/curly,3,Klasik ayrımın modern yorumu; kare yüze daha yumuşak ve elit bir ifade katar.
HS41,square,wavy/curly,3,"Belirgin bukleler ve yan geçişiyle kare yüzle uyumlu, modern bir kısa kesim alternatifi."
HS42,square,wavy/curly,4,Asimetrik katlar ve doğal dalgalar; kare yüzün gücünü asilikle birleştiren zirve bir modeldir.
HS01,square,buzz,0,Teknik uyumsuzluk; Buzz kısalığında bu akışkan formu yakalamak mümkün değildir.
HS02,square,buzz,1,"Buzz seviyesindeki saç, yukarı taranacak uzunluğa sahip olmadığı için bu form oluşmaz."
HS03,square,buzz,4,Kare yüzün güçlü karakterini en saf haliyle yansıtır; kemik yapına güveniyorsan en etkileyici stildir.
HS04,square,buzz,3,"Alındaki çok kısa küt hat, kare yüzün otoriter duruşunu antik ve modern bir dokunuşla birleştirir."
HS05,square,buzz,0,Teknik uyumsuzluk; bu kısalıktaki saçta belirgin bir ayrım hattı oluşturulamaz.
HS06,square,buzz,1,Yanların bir tık uzun kalması kare yüzü olduğundan daha geniş ve hantal gösterebilir.
HS07,square,buzz,1,"Üst kütle, Buzz kategorisinde yana yatırılabilecek kadar uzun değildir."
HS08,square,buzz,4,"Tepede bırakılan hafif uzunluk, kare yüzün üst köşelerini dikeyde dengeleyerek daha estetik bir form sunar."
HS09,square,buzz,0,"Buzz kısalığında bukleler oluşmaz, bu nedenle dalgalı/kıvırcık doku etkisi yaratılamaz."
HS10,square,buzz,0,Yapısal olarak imkansız; Buzz kesim alna düşen bir kahkül yapısı barındırmaz.
HS11,square,buzz,0,Buzz saçın doğasına aykırı; uzunluk ve doku bu modelle tamamen zıttır.
HS12,square,buzz,0,Teknik uyumsuzluk; bu kısalıkta ortadan ayrılan bir çerçeveleme yapılamaz.
HS13,square,buzz,3,Saçlar çok kısa olsa da hafif bir tepe sivriltmesi kare yüzü dikeyde uzatarak dengeler.
HS14,square,buzz,3,"Tepe dokusunun öne yönlendirilmesi, Buzz stile modern bir derinlik ve tarz katar."
HS15,square,buzz,0,Teknik uyumsuzluk; alna sarkan bir doku bu kesim tarzında mevcut değildir.
HS16,square,buzz,4,Kare yüz için idealdir; yanların aşırı kısalığı yüzün o güçlü çene hattını iyice sivriltir.
HS17,square,buzz,2,Buzz stilden biraz daha nizamlıdır; kare yüzde temiz durur ama görsel etkisi düşüktür.
HS18,square,buzz,0,Saçlar geriye taramaya izin vermeyecek kadar kısa olduğu için uygulanamaz.
HS19,square,buzz,3,"Kulak çevresindeki hafif geçiş, kare yüzün sert köşelerini bir miktar yumuşatarak estetik sağlar."
HS20,square,buzz,0,Teknik uyumsuzluk; Buzz saçın toplanamayacak kadar kısa olması modelle çelişir.
HS21,square,buzz,0,Buzz saç yapısında bu dağınık ve orta boy katmanlı yapı kurulamaz.
HS22,square,buzz,4,"Modern Buzz tarzının zirvesidir. Yan geçişler, kafa yapını kutu görünümünden kurtarıp dengeler."
HS23,square,buzz,4,"Kare yüzün sertliğini disiplinle birleştiren, bakımı kolay ve son derece maskülen bir tercih."
